ID PROVINSI,PROVINSI,TAHUN,X1 (LUAS PENUTUPAN LAHAN - RIBU Ha),X2 (LUAS KEBAKARAN HUTAN DAN LAHAN - Ha),X3 (TOTAL LUAS TANAMAN PERKEBUNAN - RIBU Ha),X4 (KEPADATAN PENDUDUK - jiwa/km2),X5  (TOTAL POPULASI TERNAK - EKOR),X6 (PDRB PERTAMBANGAN DAN PENGGALIAN PERSEN) ,Y (TREE COVER LOSS- Ha)
P03,SUMATERA BARAT,2015,1934.7,3940.14,2910.2,124,835490.95,4.84,22500
P03,SUMATERA BARAT,2016,1924.1,2629.82,796.7,125,836203,4.53,39172
P03,SUMATERA BARAT,2017,1936.6,2227.43,786.3,127,792575,4.27,51512
P03,SUMATERA BARAT,2018,1931,2421.9,754.9,128,763653,4.27,37400
P03,SUMATERA BARAT,2019,1907.1,2133,742.7,130,776407,4.3,30977
P03,SUMATERA BARAT,2020,1912.8,1573,725.1,132,783239,4.28,30395
P03,SUMATERA BARAT,2021,1891,2068,747.4,133,806189,4.19,35801
P03,SUMATERA BARAT,2022,1907.3,9832,752.3,134,772206,4.09,35602
P03,SUMATERA BARAT,2023,1891.1,4885.13,728.55,137,288192,4.08,35180
P03,SUMATERA BARAT,2024,1879.08,3052.2,733.3,139,764141,3.88,32209
P04,RIAU,2015,2350,183808.59,4085.7,73,520389,30.63,90762
P04,RIAU,2016,2617.6,85219.51,2882.4,75,503342,28.16,147085
P04,RIAU,2017,2304.3,6866.09,2991.9,77,534192,25.92,123675
P04,RIAU,2018,2260.5,37236.27,3469,78,467332,27.87,101107
P04,RIAU,2019,2459.2,90550,3502,80,538951,24.25,102819
P04,RIAU,2020,2665.7,15442,3618.9,73,539188,17.73,94605
P04,RIAU,2021,2580.9,8970,3640.5,75,571851,19.68,95679
P04,RIAU,2022,2577,4915,3559.5,74,556897,22.7,86882
P04,RIAU,2023,2561.9,7267.03,4075.23,74,413130,19.78,115270
P04,RIAU,2024,2515.6,11027.96,4050.29,75,530517,18.5,100670
P05,JAMBI,2015,1341.3,115634.34,4519.7,68,744926.13,19,60611
P05,JAMBI,2016,1385.6,8281.25,1189.2,69,762008,16.54,157246
P05,JAMBI,2017,1283.4,109.17,1297.4,70,778878,17.79,86203
P05,JAMBI,2018,1274.2,1577.75,1572.9,71,750952,19.84,69978
P05,JAMBI,2019,1253.2,56593,1580.5,72,682215,18.44,67673
P05,JAMBI,2020,1345.3,1002,1626.5,71,683130,12.28,78387
P05,JAMBI,2021,1328.5,540,1646.1,72,701170,14.2,73131
P05,JAMBI,2022,1360.1,918,1633.3,74,674071,19.23,75657
P05,JAMBI,2023,1483.5,6539.68,1478.75,75,250429,15.31,93816
P05,JAMBI,2024,1464.94,5636.69,1485.25,76,266659,13.41,91324
P06,SUMATERA SELATAN,2015,1200.6,646298.8,3386,88,751629,21.84,169040
P06,SUMATERA SELATAN,2016,1536.4,8784.91,2101.4,89,765222,19.71,275754
P06,SUMATERA SELATAN,2017,1144.4,3625.66,2218.1,90,711327,19.24,124661
P06,SUMATERA SELATAN,2018,1141,16226.6,2347.1,91,762146,20.17,125458
P06,SUMATERA SELATAN,2019,1445,336798,2405.2,92,769938,20.33,102590
P06,SUMATERA SELATAN,2020,1549.8,950,2422.6,92,799625,18.32,108366
P06,SUMATERA SELATAN,2021,1506.8,5245,2311.5,93,815407,21.03,77866
P06,SUMATERA SELATAN,2022,1540.3,3723,2367.2,100,797557,27.71,87810
P06,SUMATERA SELATAN,2023,1566.2,132082.86,2391.48,101,624025,26.6,139240
P06,SUMATERA SELATAN,2024,1553.63,15422.48,2434.7,102,804492,24.6,120445
P07,BENGKULU,2015,688.9,931.76,2643,94,386582,3.97,20197
P07,BENGKULU,2016,681.5,1000.39,495.1,96,419799,3.74,24378
P07,BENGKULU,2017,685.1,131.04,545.6,97,446619,3.56,27232
P07,BENGKULU,2018,677.2,8.82,521.9,99,393011,3.44,24624
P07,BENGKULU,2019,674.6,11,520.7,100,395234,3.34,18200
P07,BENGKULU,2020,191.9,221,533.6,101,402029,3.26,16311
P07,BENGKULU,2021,654.2,93,533.5,102,407138,4.96,14326
P07,BENGKULU,2022,651.3,1620,627,102,429001,7.45,23800
P07,BENGKULU,2023,647.4,75.94,613.99,104,221702,5.71,29912
P07,BENGKULU,2024,638.81,355.05,621.8,105,229869,4.2,20998
P08,LAMPUNG,2015,339.1,71326.49,1318.6,234,2081711,5.67,14132
P08,LAMPUNG,2016,354.9,3201.24,821.7,237,2128972,5.49,16242
P08,LAMPUNG,2017,334.4,6177.79,839.7,239,2174044,5.65,11761
P08,LAMPUNG,2018,333.1,15156.22,810.4,242,2401743,5.74,10337
P08,LAMPUNG,2019,335.9,35546,819.6,244,2458177,5.55,13177
P08,LAMPUNG,2020,665,1358,822.8,260,2467227,5.01,9472
P08,LAMPUNG,2021,322.3,5411,829.2,262,2668600,5.6,7605
P08,LAMPUNG,2022,330.4,7989,696.8,273,2696007,5.89,7023
P08,LAMPUNG,2023,332,6506.67,802.28,277,2571682,5.25,21635
P08,LAMPUNG,2024,328.93,13242.01,788.86,281,2942565,5.11,12943
P09,KEP. BANGKA BELITUNG,2015,233.3,19770.81,1086.6,84,46877,12.69,41281
P09,KEP. BANGKA BELITUNG,2016,229.7,0,289.9,85,43217,11.9,58203
P09,KEP. BANGKA BELITUNG,2017,221.8,0,298.6,87,49942,11.71,25558
P09,KEP. BANGKA BELITUNG,2018,218.1,2055.67,282,89,48369,10.61,22426
P09,KEP. BANGKA BELITUNG,2019,192.1,4778,283.7,91,46056,9.51,25529
P09,KEP. BANGKA BELITUNG,2020,344.2,576,298.6,89,43740,8.57,24628
P09,KEP. BANGKA BELITUNG,2021,205,385,298.1,90,32422,9.55,31006
P09,KEP. BANGKA BELITUNG,2022,209.1,328,306.6,90,28778,8.63,34052
P09,KEP. BANGKA BELITUNG,2023,238.1,4752.98,302.16,91,26657,7.58,50388
P09,KEP. BANGKA BELITUNG,2024,227.93,2915.46,310.87,92,35023,7.55,31059
P10,KEP. RIAU,2015,245,0,346.6,241,342224,15.74,5869
P10,KEP. RIAU,2016,268.7,67.36,66.8,247,367757,15.29,13058
P10,KEP. RIAU,2017,268.8,19.61,67.2,254,414654,14.08,7993
P10,KEP. RIAU,2018,269.1,320.96,63.5,260,407925,14.13,6266
P10,KEP. RIAU,2019,271.6,6134,63.6,267,332875,13.06,8888
P10,KEP. RIAU,2020,284.1,8805,64.2,252,412026,11.16,8779
P10,KEP. RIAU,2021,286.8,1588,63.9,258,311500,12.59,4391
P10,KEP. RIAU,2022,322.6,23,64.2,264,287378,12.58,2845
P10,KEP. RIAU,2023,330.3,724.26,61.58,260,15183,11.17,3343
P10,KEP. RIAU,2024,329.14,1498.66,62.03,264,45536,9.72,2623
P11,DKI JAKARTA,2015,0.3,0,77.8,15328,11509,0.25,0
P11,DKI JAKARTA,2016,0.3,0,0,15478,12198,0.24,0
P11,DKI JAKARTA,2017,0.3,0,0,15624,10669,0.24,1
P11,DKI JAKARTA,2018,0.3,0,0,15764,11084,0.25,0
P11,DKI JAKARTA,2019,0.3,0,0,15900,11668,0.22,0
P11,DKI JAKARTA,2020,152.9,0,0,15907,10978,0.17,0
P11,DKI JAKARTA,2021,1.1,0,0,15978,10932,0.22,1
P11,DKI JAKARTA,2022,1.1,0,0,16158,9043,0.25,0
P11,DKI JAKARTA,2023,1.1,0,0,16146,16849,0.17,0
P11,DKI JAKARTA,2024,1.1,0.51,0,16165,9210,0.16,0
P12,JAWA BARAT,2015,634.7,2886.03,404.1,1320,14862991,1.71,3502
P12,JAWA BARAT,2016,650,0,363.1,1339,11933008,1.53,3657
P12,JAWA BARAT,2017,648.1,648.11,387.5,1358,13321699,1.43,5646
P12,JAWA BARAT,2018,639.8,4104.51,371.9,1376,13803293,1.36,4509
P12,JAWA BARAT,2019,797.2,9552,374.6,1394,14197050,1.25,6974
P12,JAWA BARAT,2020,0.9,2344,370.5,1365,13978714,1.11,3459
P12,JAWA BARAT,2021,686.5,1299,358.8,1379,12075475,1.16,2568
P12,JAWA BARAT,2022,680.8,2005,334.5,1334,10402475,1.15,2575
P12,JAWA BARAT,2023,681.1,11524.8,353.48,1346,359109,0.99,5561
P12,JAWA BARAT,2024,669.98,4548.58,353.04,1359,6759857,0.97,4421
P13,JAWA TENGAH,2015,1019.5,2747.7,782.1,1030,8351292.13,2.27,1808
P13,JAWA TENGAH,2016,787.3,0,360.9,1037,8417355,2.53,2285
P13,JAWA TENGAH,2017,1019.7,6028.48,352.4,1044,8536724,2.55,3457
P13,JAWA TENGAH,2018,1019,331.67,348.2,1052,8415144,2.55,2573
P13,JAWA TENGAH,2019,665.1,4782,350.5,1058,8524731,2.48,2769
P13,JAWA TENGAH,2020,710.4,7516,346,1113,8198078,2.45,2752
P13,JAWA TENGAH,2021,658.8,599,345.2,1120,8294550,2.58,2109
P13,JAWA TENGAH,2022,656.2,107,291.7,1078,8058198,2.42,2085
P13,JAWA TENGAH,2023,656.7,9965.59,332.5,1093,2090929,2.25,4726
P13,JAWA TENGAH,2024,646.37,3726.78,339.26,1104,6212588,2.16,2774
P14,DI YOGYAKARTA,2015,34.3,0,431.4,1174,904663,0.56,42
P14,DI YOGYAKARTA,2016,45.9,0,51.9,1188,910316,0.54,67
P14,DI YOGYAKARTA,2017,34.6,0,56.3,1201,929201,0.52,108
P14,DI YOGYAKARTA,2018,34,0,54.8,1214,888930,0.52,140
P14,DI YOGYAKARTA,2019,32.6,23,50.1,1227,873766,0.51,69
P14,DI YOGYAKARTA,2020,634.5,181,48,1171,891425,0.48,56
P14,DI YOGYAKARTA,2021,18.9,0,49.2,1185,900338,0.44,71
P14,DI YOGYAKARTA,2022,22.4,0,45.9,1186,923350,0.43,36
P14,DI YOGYAKARTA,2023,22.4,119.91,47.12,1178,331762,0.44,107
P14,DI YOGYAKARTA,2024,21.93,51.91,45.83,1186,894918,0.45,108
P15,JAWA TIMUR,2015,1365.8,2966.79,729.3,813,9067141,3.93,2901
P15,JAWA TIMUR,2016,1435.6,0,721.6,817,9411382,3.77,3188
P15,JAWA TIMUR,2017,1367.8,5116.43,674.2,822,9619165,4.02,4713
P15,JAWA TIMUR,2018,1356.3,8886.39,653.1,826,9882319,4.3,4290
P15,JAWA TIMUR,2019,1207.3,23655,597.7,831,9992299,4,5112
P15,JAWA TIMUR,2020,20.3,19148,595.6,851,10283868,3.54,4919
P15,JAWA TIMUR,2021,1248,15458,594.5,855,10483890,3.99,3520
P15,JAWA TIMUR,2022,1261.6,2380,378.9,857,10275364,4.38,2918
P15,JAWA TIMUR,2023,1244.5,49498.32,590.87,865,4064371,3.81,6319
P15,JAWA TIMUR,2024,1217.05,20957.17,603.15,870,9878746,3.58,4505
P16,BANTEN,2015,151.4,250.02,806.3,1237,1608559,0.81,2663
P16,BANTEN,2016,167.1,0,127,1263,1627182,0.79,1969
P16,BANTEN,2017,162.9,0,126.6,1288,1663849,0.74,3495
P16,BANTEN,2018,163.2,0,127.5,1313,1599031,0.7,3401
P16,BANTEN,2019,147.1,9,127.7,1338,1321033,0.66,4715
P16,BANTEN,2020,1192.6,2,128.5,1232,1265979,0.68,2042
P16,BANTEN,2021,157.8,0,127.1,1248,1210638,0.7,1915
P16,BANTEN,2022,166.6,0,123,1310,1230784,0.55,1546
P16,BANTEN,2023,173.3,1.01,117.95,1316,129222,0.43,3744
P16,BANTEN,2024,170.9,362.83,118.69,1329,340353,0.38,3256
P17,BALI,2015,102.1,373.46,253.7,718,1405545,1.1,133
P17,BALI,2016,91.6,0,122.4,727,1414660,1.08,156
P17,BALI,2017,94.9,370.8,121.7,735,1241122,0.99,263
P17,BALI,2018,94.6,1013.76,121.4,743,1382658,0.94,302
P17,BALI,2019,99.8,373,120.8,750,1261107,0.87,706
P17,BALI,2020,5656.6,29,120.8,747,996337,0.95,165
P17,BALI,2021,96,3,119.4,755,1043372,0.97,199
P17,BALI,2022,95.9,0,117.6,790,796632,0.94,262
P17,BALI,2023,97.4,2011.27,117.41,788,394959,0.89,558
P17,BALI,2024,95.67,316.36,117.15,793,836018,0.85,168
P18,NUSA TENGGARA BARAT,2015,791.2,2565.71,208.1,260,1935296,21.11,4435
P18,NUSA TENGGARA BARAT,2016,920,706.07,81.4,264,2003042,22.52,4028
P18,NUSA TENGGARA BARAT,2017,793.4,3123.81,80.2,267,2054342,19.47,6195
P18,NUSA TENGGARA BARAT,2018,783.2,14461.38,78.7,270,2074351,13.94,8144
P18,NUSA TENGGARA BARAT,2019,878.6,60234,79.4,273,2177887,13.45,8705
P18,NUSA TENGGARA BARAT,2020,948.5,29157,79.7,286,2246979,17.43,6598
P18,NUSA TENGGARA BARAT,2021,878.5,101173,82.5,290,2280803,17.33,4816
P18,NUSA TENGGARA BARAT,2022,884.3,30567,79.4,278,2089973,20.37,5616
P18,NUSA TENGGARA BARAT,2023,888.2,66716.43,83.51,283,1090819,17.93,9928
P18,NUSA TENGGARA BARAT,2024,865.25,46189.73,82.78,287,1977033,20.12,6153
P19,NUSA TENGGARA TIMUR,2015,1967,85430.86,344.6,105,3659832,1.41,7422
P19,NUSA TENGGARA TIMUR,2016,1760.8,8968.09,265.8,107,3804296,1.39,7367
P19,NUSA TENGGARA TIMUR,2017,1977.2,38326.09,271.5,109,4098152,1.3,10350
P19,NUSA TENGGARA TIMUR,2018,1957.2,57428.79,278.6,110,3983683,1.21,5184
P19,NUSA TENGGARA TIMUR,2019,1719.2,136920,277.2,112,4538689,1.17,7794
P19,NUSA TENGGARA TIMUR,2020,7459.3,114719,277.4,109,4875370,1.08,6516
P19,NUSA TENGGARA TIMUR,2021,1717.7,137343,286.2,111,4588748,1.07,9791
P19,NUSA TENGGARA TIMUR,2022,1710,70637,273.9,118,4660744,1.06,7000
P19,NUSA TENGGARA TIMUR,2023,1704.8,102536.89,271.12,120,1021092,1.05,8807
P19,NUSA TENGGARA TIMUR,2024,1660.17,113089.51,257.47,122,2297440,1.02,6484
P20,KALIMANTAN BARAT,2015,5754.9,93515.8,1899.2,33,876588,4.91,267806
P20,KALIMANTAN BARAT,2016,5583.1,9174.19,1760,33,895117,5.61,286374
P20,KALIMANTAN BARAT,2017,5623.5,7467.33,1971.6,33,853000,5.45,181330
P20,KALIMANTAN BARAT,2018,5590.8,68422.03,2333.3,34,794970,5.63,159317
P20,KALIMANTAN BARAT,2019,5587,151919,2536.6,34,770286,5.73,143107
P20,KALIMANTAN BARAT,2020,13289.5,7646,2559.3,37,768504,6.88,121935
P20,KALIMANTAN BARAT,2021,5637.8,20590,2639.7,37,716549,6.95,109033
P20,KALIMANTAN BARAT,2022,5666,21836,2507.2,38,315384,6.56,137501
P20,KALIMANTAN BARAT,2023,5678.7,111848.43,2541.36,38,168217,5.35,206711
P20,KALIMANTAN BARAT,2024,5647.65,24154.63,2617.11,39,255315,5.11,173923
P21,KALIMANTAN TENGAH,2015,7866.9,583633.94,3095,16,314507,10.83,213840
P21,KALIMANTAN TENGAH,2016,7609.1,6142.48,1598.9,17,331818,10.83,492975
P21,KALIMANTAN TENGAH,2017,7544.1,1743.82,1654.6,17,344238,11.44,102894
P21,KALIMANTAN TENGAH,2018,7516.4,47432.57,1968.2,17,333319,11.88,110369
P21,KALIMANTAN TENGAH,2019,7396.6,317749,2253,18,369276,10.94,122143
P21,KALIMANTAN TENGAH,2020,560,7681,2352.3,17,374667,8.97,90490
P21,KALIMANTAN TENGAH,2021,7342.2,3653,2159,18,341332,10.21,53159
P21,KALIMANTAN TENGAH,2022,7405.6,1554,2561.8,18,224068,16.26,72734
P21,KALIMANTAN TENGAH,2023,7424.4,165896.44,2487.31,18,37598,12.66,144866
P21,KALIMANTAN TENGAH,2024,7391.49,11459.89,2462.98,18,214623,10.68,118639
P22,KALIMANTAN SELATAN,2015,899.6,196516.77,2111.5,103,244562,23.22,73379
P22,KALIMANTAN SELATAN,2016,897,2331.96,780.1,105,246511,20.98,65747
P22,KALIMANTAN SELATAN,2017,855.5,8280.34,744.4,106,260296,20.82,37465
P22,KALIMANTAN SELATAN,2018,840.9,98637.99,787.6,108,210501,20.66,37578
P22,KALIMANTAN SELATAN,2019,926.9,137848,716.6,110,227525,19.08,44331
P22,KALIMANTAN SELATAN,2020,731.1,4017,741.9,105,253798,18.28,21000
P22,KALIMANTAN SELATAN,2021,926,8625,730.4,106,273311,21.46,21668
P22,KALIMANTAN SELATAN,2022,943.1,429,766,113,258921,32.08,17769
P22,KALIMANTAN SELATAN,2023,953,190394.58,692.11,114,110240,30.84,51434
P22,KALIMANTAN SELATAN,2024,944.86,4993.88,703.54,115,177003,29.47,27839
P23,KALIMANTAN TIMUR,2015,9071.3,692352.96,1609.5,27,244724,45.16,183872
P23,KALIMANTAN TIMUR,2016,8358,43136.76,1114.5,27,259610,43.19,313958
P23,KALIMANTAN TIMUR,2017,8318.3,676.38,1183.6,28,273932,46.6,134297
P23,KALIMANTAN TIMUR,2018,8272,27893.2,1532.8,28,265246,46.69,147742
P23,KALIMANTAN TIMUR,2019,8232,68524,1354.4,29,276900,45.6,132059
P23,KALIMANTAN TIMUR,2020,8167.4,5221,1416.4,29,279303,41.27,91821
P23,KALIMANTAN TIMUR,2021,7758,3029,1470.9,30,274031,45.1,74061
P23,KALIMANTAN TIMUR,2022,7906.2,373,1476,30,220299,53.18,61563
P23,KALIMANTAN TIMUR,2023,7924,39494.41,1587.04,31,78686,43.18,134307
P23,KALIMANTAN TIMUR,2024,7886.09,22570.5,1543.2,32,149256,38.38,110376
P24,KALIMANTAN UTARA,2015,6136.8,14506.2,1123,9,73519,28.04,47844
P24,KALIMANTAN UTARA,2016,5923.4,2107.21,62,9,74388,24.84,38488
P24,KALIMANTAN UTARA,2017,5918.8,82.22,75,9,72805,27.37,33775
P24,KALIMANTAN UTARA,2018,5911.1,627.71,162.2,9,68635,27.42,36813
P24,KALIMANTAN UTARA,2019,5904.7,8559,162.6,10,69033,26.95,29326
P24,KALIMANTAN UTARA,2020,5897.2,1721,165.2,9,68654,25.46,24481
P24,KALIMANTAN UTARA,2021,5778.2,1678,222.5,9,64078,27.26,19260
P24,KALIMANTAN UTARA,2022,5798.3,370,244.4,10,51817,36.2,17636
P24,KALIMANTAN UTARA,2023,5940.9,796.36,244.86,10,24334,34.18,26441
P24,KALIMANTAN UTARA,2024,5917.93,2429.21,241.18,11,45156,28.72,19954
P25,SULAWESI UTARA,2015,560.1,4861.31,472.4,174,584458,4.75,15596
P25,SULAWESI UTARA,2016,555.3,2240.47,301.9,176,599816,4.82,8782
P25,SULAWESI UTARA,2017,557.1,103.04,305.7,178,606286,4.84,5777
P25,SULAWESI UTARA,2018,553.2,326.39,299.3,179,589196,4.96,7455
P25,SULAWESI UTARA,2019,555.4,4574,300.4,181,599838,5.07,8921
P25,SULAWESI UTARA,2020,1891.2,177,301.6,189,608699,5.41,3124
P25,SULAWESI UTARA,2021,549.5,579,302.6,190,573582,5.43,2824
P25,SULAWESI UTARA,2022,552.7,469,298,183,584966,5.21,2731
P25,SULAWESI UTARA,2023,557.3,2531.44,296.94,185,206236,4.95,5793
P25,SULAWESI UTARA,2024,556.74,651.68,293.84,186,149811,4.89,3474
P26,SULAWESI TENGAH,2015,3907.9,31679.88,970.8,47,1071132,10.25,91932
P26,SULAWESI TENGAH,2016,3854.3,11744.4,676.5,47,935683,11.8,74262
P26,SULAWESI TENGAH,2017,3846.5,1310.19,692.7,48,1042080,12.83,36947
P26,SULAWESI TENGAH,2018,3825.1,4147.28,653.8,49,1081571,12.84,37525
P26,SULAWESI TENGAH,2019,3816.3,11551,652.6,49,1157469,13.39,45513
P26,SULAWESI TENGAH,2020,837.6,2555,661.3,48,1201663,13.4,26788
P26,SULAWESI TENGAH,2021,3760.2,3133,653.6,49,1267348,14.11,22583
P26,SULAWESI TENGAH,2022,3759.9,3704,652.7,50,1325812,15.34,24645
P26,SULAWESI TENGAH,2023,3790.4,10844.28,643.87,50,288172,15.3,43093
P26,SULAWESI TENGAH,2024,3775.02,4920.7,645.88,51,404695,14.64,28744
P27,SULAWESI SELATAN,2015,1433.6,10074.32,1165.2,182,2947872,6.32,28080
P27,SULAWESI SELATAN,2016,1415.4,438.4,502.1,184,3131695,5.19,30886
P27,SULAWESI SELATAN,2017,1404.4,1035.51,498,186,3247357,4.91,24051
P27,SULAWESI SELATAN,2018,1409.8,1741.27,471.7,188,3143110,4.8,19442
P27,SULAWESI SELATAN,2019,1457.8,15697,452.7,189,3228058,4.62,22925
P27,SULAWESI SELATAN,2020,1534.4,1902,440.4,194,3440009,4.67,14268
P27,SULAWESI SELATAN,2021,1479.9,916,429.1,196,3521533,4.75,10243
P27,SULAWESI SELATAN,2022,1511.2,997,409.4,204,3483201,5.1,15943
P27,SULAWESI SELATAN,2023,1493.3,6489.26,418.47,207,1325404,5.13,26949
P27,SULAWESI SELATAN,2024,1480.64,3522.91,426.14,209,1683557,4.55,9599
P28,SULAWESI TENGGARA,2015,1914.4,31763.54,868.6,66,500905,20.89,43540
P28,SULAWESI TENGGARA,2016,1896.8,72.42,397,67,552646,19.38,38445
P28,SULAWESI TENGGARA,2017,1877,3313.68,397.8,68,620576,20.68,27135
P28,SULAWESI TENGGARA,2018,1846.6,8594.67,398.4,70,568377,20.83,24214
P28,SULAWESI TENGGARA,2019,1861.4,16929,378.3,71,607754,21.04,34956
P28,SULAWESI TENGGARA,2020,97.5,3206,427,69,657848,19.79,18920
P28,SULAWESI TENGGARA,2021,1883,2124,397.2,70,708699,19.35,12405
P28,SULAWESI TENGGARA,2022,1884,3098,373.7,75,747282,20.25,13369
P28,SULAWESI TENGGARA,2023,1880.4,18736.47,355.23,76,223070,21.44,34164
P28,SULAWESI TENGGARA,2024,1860.34,1629.74,352.26,77,390501,21.13,16908
P29,GORONTALO,2015,707.5,5225.89,478.8,101,297638,1.32,13286
P29,GORONTALO,2016,692.7,737.91,101.8,102,317558,1.2,10910
P29,GORONTALO,2017,709.9,0,105.3,104,336979,1.16,7869
P29,GORONTALO,2018,710.3,158.65,108.5,105,343325,1.11,8007
P29,GORONTALO,2019,717.6,1909,110.4,107,362561,1.1,10959
P29,GORONTALO,2020,869.6,80,111.1,104,372351,1.12,3030
P29,GORONTALO,2021,709.8,163,113.3,105,381529,1.1,2199
P29,GORONTALO,2022,709,101,105.1,99,389678,1.09,2819
P29,GORONTALO,2023,705.9,666.33,108.63,101,155164,1.09,8242
P29,GORONTALO,2024,703.38,767.03,107.55,102,179777,1.12,4643
P30,SULAWESI BARAT,2015,822.1,4989.38,424.4,76,456908.11,2.21,22500
P30,SULAWESI BARAT,2016,823.2,4133.98,356.9,78,395188,2.32,39172
P30,SULAWESI BARAT,2017,817.4,188.13,366.6,79,429699,2.25,51512
P30,SULAWESI BARAT,2018,815.6,978.38,370.9,81,435889,2.23,37400
P30,SULAWESI BARAT,2019,823.3,3029,359.3,82,477583,2.24,30977
P30,SULAWESI BARAT,2020,1725.4,569,359,85,489717,2.17,30395
P30,SULAWESI BARAT,2021,811.5,886,347.7,86,495151,2.2,35801
P30,SULAWESI BARAT,2022,811.7,488,349.2,88,496077,2.15,35602
P30,SULAWESI BARAT,2023,825.1,2132.31,348.25,89,133969,2.2,35180
P30,SULAWESI BARAT,2024,816.27,994.74,347.26,91,274152,2.21,32209
P31,MALUKU,2015,3016.8,43231.45,471.2,36,306232,2.44,48979
P31,MALUKU,2016,3030,7834.54,155.6,37,304005,2.03,27623
P31,MALUKU,2017,3011.8,3191.12,159.2,37,316319,2.29,7333
P31,MALUKU,2018,3007.8,14906.44,159.4,38,302871,2.56,11187
P31,MALUKU,2019,3012.6,27211,158,38,321343,2.29,17179
P31,MALUKU,2020,2023.2,20270,156.2,39,328434,2.2,5660
P31,MALUKU,2021,3077.9,11807,153,40,343275,2.41,3727
P31,MALUKU,2022,3096.8,14954,157.2,41,387026,2.61,5059
P31,MALUKU,2023,3103.9,45999.39,156.2,42,93324,1.85,14304
P31,MALUKU,2024,3078.89,13404.83,156.93,42,170433,1.68,5198
P32,MALUKU UTARA,2015,2070.9,2132.51,405.9,36,264832,8.77,45451
P32,MALUKU UTARA,2016,1946.8,103.11,251.4,37,279940,8.39,26859
P32,MALUKU UTARA,2017,2019,31.1,253.3,38,286472,9.18,10589
P32,MALUKU UTARA,2018,2009.3,69.54,226.7,39,265717,10.84,12375
P32,MALUKU UTARA,2019,2014.1,2781,232.2,39,333573,10.75,14166
P32,MALUKU UTARA,2020,3075.5,59,232.2,40,354699,11.56,7423
P32,MALUKU UTARA,2021,2033.2,108,231.6,41,357691,14.64,6041
P32,MALUKU UTARA,2022,2038.7,171,232.3,40,367469,17.55,6358
P32,MALUKU UTARA,2023,2060.7,542.18,232.57,41,56784,20.1,11895
P32,MALUKU UTARA,2024,2056.73,102.57,232.52,41,74535,18.52,7303
P33,PAPUA BARAT,2015,8790,7964.41,416.1,9,193148,19.49,42462
P33,PAPUA BARAT,2016,8821.6,542.09,92.1,9,198008,19.13,26815
P33,PAPUA BARAT,2017,8750.9,1156.03,95.4,9,167737,17.97,15891
P33,PAPUA BARAT,2018,8751.1,509.5,86.6,9,155313,17.98,20511
P33,PAPUA BARAT,2019,8874.9,1533,85.2,9,160768,17.44,16558
P33,PAPUA BARAT,2020,25396.6,5716,88.6,11,171924,17.3,16318
P33,PAPUA BARAT,2021,9087,77,94.8,11,155180,17.69,12209
P33,PAPUA BARAT,2022,9131.6,1738,108,12,153451,18.25,13752
P33,PAPUA BARAT,2023,9122.6,763.27,110.7,12,41957,33.7,16565
P33,PAPUA BARAT,2024,13208.34,227.27,118.83,26,83200,35.39,12150
P34,PAPUA,2015,25088.4,350015.3,258.6,10,858595.17,32.41,82032
